# Completeness = 8372 / 10000
RA	Dec	magnitude
85.619058	1.474566	4.534766
81.186785	1.846447	4.641140
73.562907	2.440678	3.692016
71.375698	-3.254717	4.008290
74.637090	1.713985	4.020653
78.322858	2.861256	4.153730
82.696088	5.947973	4.442832
58.573041	-2.954733	4.479679
52.654475	-5.075119	4.705741
56.235667	-0.296729	5.055646
61.041812	2.826397	5.219349
54.217232	0.399525	4.141093
49.841601	3.370616	4.656490
60.935858	5.435586	5.255648
54.962842	3.056906	5.292956
67.133928	1.380735	5.504563
65.171799	6.130600	5.522059
72.462124	6.961331	3.087922
73.133183	14.250398	3.525230
72.801516	5.605108	3.668258
60.170040	12.490288	3.475632
60.789103	5.989283	3.910420
63.883664	8.892258	4.259019
67.166081	15.870784	3.377908
64.948886	15.627538	3.402757
65.734225	17.542391	3.516044
67.144232	15.962025	3.577121
88.110130	1.855102	4.329378
89.706493	0.552992	5.193059
91.243170	4.158649	5.351807
98.225942	7.332948	4.437913
100.244417	9.895739	4.543516
94.111289	12.272992	4.916410
83.784497	9.934150	3.528103
84.227062	9.289316	3.797651
91.893058	14.768382	4.375765
92.984992	14.208679	4.398403
87.387111	12.651240	4.857787
101.321830	12.894743	3.246348
100.997028	13.227768	4.142492
96.367381	14.721972	5.129608
106.027177	20.570294	3.539513
108.342875	16.158780	3.803366
97.240754	20.212076	4.058969
90.979939	20.138441	4.512109
93.711526	19.155637	5.072946
90.864055	19.690475	5.084088
100.983006	25.131075	2.648398
101.189373	28.970816	4.904414
105.603216	24.215445	4.933735
77.923208	16.045708	4.579640
76.142369	15.403964	4.640300
77.424841	15.597181	4.712814
83.053136	18.594217	3.133793
88.594824	20.275852	4.241686
85.323827	16.534069	4.721123
81.908704	21.936934	4.829603
75.774266	21.589779	4.583001
76.865031	18.645132	4.732457
72.843985	18.839698	5.033988
79.819246	22.096172	4.702397
74.452712	23.948502	5.426897
88.331881	27.612219	4.528941
87.253981	24.567400	4.576467
89.498561	25.953903	4.762597
93.079579	22.908505	5.159730
93.844165	29.496916	4.028311
93.083816	32.693367	4.958543
83.181972	32.192008	4.588920
85.175208	31.920597	5.079807
84.934231	25.896994	5.151171
87.872418	39.148527	3.659338
87.760359	37.305367	3.950514
87.857334	32.124693	5.169213
177.163377	-35.986955	4.156404
183.303731	-34.125249	4.426598
173.249379	-31.857808	3.292473
173.225383	-31.087196	4.388352
175.053053	-34.744664	4.667739
182.530821	-22.619722	2.629701
177.187671	-26.749825	3.745264
188.596818	-23.397012	2.448283
187.572561	-23.696413	4.885602
199.596298	-18.315922	4.532528
187.465090	-16.516051	2.964906
185.139652	-22.216023	5.159155
188.015645	-16.196264	4.209557
188.392668	-12.829976	5.351292
167.914532	-22.826305	4.433578
166.331989	-27.293638	4.767822
171.220063	-17.683996	4.047225
176.190861	-18.350786	4.443709
162.406631	-16.192760	2.735664
169.834632	-14.777619	3.227789
168.915685	-12.592619	5.206147
179.003743	-17.150861	5.163772
171.152350	-10.859217	4.127171
181.811957	-6.765505	5.018438
201.862621	-15.973489	4.466056
201.679268	-12.707758	4.669678
205.402798	-8.702808	4.148621
193.588079	-9.539057	3.785582
197.487297	-5.539152	4.404805
202.990722	-6.256019	3.815022
214.003499	-6.002391	3.942037
214.884804	-2.265834	4.856747
213.420877	-0.846084	5.781929
221.561669	1.892793	3.728377
217.049962	-2.227973	4.645484
213.065666	2.409310	4.961365
190.412427	-1.449023	3.433299
